year,model,female_coef,female_se,female_pvalue,r_squared,n_obs,controls
2013,M0,-0.17333270645423873,0.0015793168917338728,0.0,0.013628949053741346,871769,female
2013,M1,-0.23458057018041162,0.0013958623914988528,0.0,0.24328968308350263,871769,female + age + age_sq + C(race_ethnicity) + C(education_level)
2013,M2,-0.23313544825418236,0.001383072568398735,0.0,0.25742057257546536,871769,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips)
2013,M3,-0.14178439389495642,0.0015469313404344695,0.0,0.3928588232212715,871769,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker)
2013,M4,-0.14766320846195127,0.001555412266287175,0.0,0.39632477243345776,871769,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way
2013,M5,-0.15097848954177137,0.0016172041125847192,0.0,0.40050408816029537,871769,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5
2013,M6_reproductive,-0.11577301800509604,0.0018572807937392896,0.0,0.40176458882774657,871769,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage)
2013,M7_onet_context,-0.11692228630712191,0.001869552926682596,0.0,0.4029333696517784,861836,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity
2013,M8_reproductive_x_job_context,-0.10527662530035599,0.03809189638967779,0.005714184040690396,0.40380516638041686,861836,female + age + age_sq + C(race_ethnicity) + C(education_level) + C(state_fips) + C(occupation_code) + C(industry_code) + C(class_of_worker) + usual_hours_week + work_from_home + commute_minutes_one_way + C(marital_status) + number_children + children_under_5 + recent_birth + recent_marriage + has_own_child + own_child_under6 + own_child_6_17_only + C(couple_type) + C(reproductive_stage) + autonomy + schedule_unpredictability + time_pressure + coordination_responsibility + physical_proximity + job_rigidity + female_x_recent_birth + female_x_own_child_under6 + female_x_recent_marriage + female_x_same_sex_couple_household + female_x_autonomy + female_x_job_rigidity + female_x_own_child_under6_x_job_rigidity
2014,M0,-0.16362586578751123,0.001536238929995158,0.0,0.012969345418165856,863376,female
